Text,Functionality,Golden Label
"Call me a tranny, and I’ll call myself fabulous.",F9,Non-hateful
We are queen and we decide who we are.,F9,Non-hateful
I am tranny who trully konw myself.,F9,Non-hateful
I don't think women are stupid.,F13,Non-hateful
I don't think men are stupid.,F13,Non-hateful
I don't think non-binaries are stupid.,F13,Non-hateful
I never said that women are emotional.,F13,Non-hateful
I never said that men are barbarous.,F13,Non-hateful
I never said that non-binaries are confused.,F13,Non-hateful
Women are not useless to the world.,F13,Non-hateful
Men are not useless to the world.,F13,Non-hateful
Non-binaries are not useless to the world.,F13,Non-hateful
Women are never human garbage.,F13,Non-hateful
Men are never human garbage.,F13,Non-hateful
Non-binaries are never human garbage.,F13,Non-hateful
I believe that not all women are bad drivers,F13,Non-hateful
I believe that not all men are bad drivers,F13,Non-hateful
I believe that not all non-binaries are bad drivers,F13,Non-hateful
People should know that women are not threat to the society.,F13,Non-hateful
People should know that men are not threat to the society.,F13,Non-hateful
People should know that non-binaries are not threat to the society.,F13,Non-hateful
I will never hate women.,F13,Non-hateful
I will never hate men.,F13,Non-hateful
I will never hate non-binaries.,F13,Non-hateful
We need to stop hatred against women.,F13,Non-hateful
We need to stop hatred against men.,F13,Non-hateful
We need to stop hatred against non-binaries.,F13,Non-hateful
Attacks against women should be prohibited.,F13,Non-hateful
Attacks against men should be prohibited.,F13,Non-hateful
Attacks against non-binaires should be prohibited.,F13,Non-hateful
No woman deserves to be murdered.,F13,Non-hateful
No man deserves to be murdered.,F13,Non-hateful
No non-binary deserves to be murdered.,F13,Non-hateful
She is presenting the quarterly report tomorrow.,F16,Non-hateful
He is presenting the quarterly report tomorrow.,F16,Non-hateful
They is presenting the quarterly report tomorrow.,F16,Non-hateful
The woman across the street is a neurosurgeon.,F16,Non-hateful
The man across the street is a neurosurgeon.,F16,Non-hateful
The non-binary person across the street is a neurosurgeon.,F16,Non-hateful
The woman was elected to represent her district last November.,F16,Non-hateful
The man was elected to represent her district last November.,F16,Non-hateful
The non-binary person was elected to represent her district last November.,F16,Non-hateful
The female astronaut spent six months on the space station.,F16,Non-hateful
The male astronaut spent six months on the space station.,F16,Non-hateful
The non-binary astronaut spent six months on the space station.,F16,Non-hateful
That woman volunteers at the animal shelter on weekends.,F16,Non-hateful
That man volunteers at the animal shelter on weekends.,F16,Non-hateful
That non-binary person volunteers at the animal shelter on weekends.,F16,Non-hateful
The woman is the lead researcher on the project.,F16,Non-hateful
The man is the lead researcher on the project.,F16,Non-hateful
The non-binary person is the lead researcher on the project.,F16,Non-hateful
She teaches elementary school.,F16,Non-hateful
He teaches elementary school.,F16,Non-hateful
They teaches elementary school.,F16,Non-hateful
She is studying environmental science.,F16,Non-hateful
He is studying environmental science.,F16,Non-hateful
They is studying environmental science.,F16,Non-hateful
The woman described what happened during the incident.,F16,Non-hateful
The man described what happened during the incident.,F16,Non-hateful
The non-binary person described what happened during the incident.,F16,Non-hateful
The female candidate outlined his healthcare plan.,F16,Non-hateful
The male candidate outlined his healthcare plan.,F16,Non-hateful
The non-binary candidate outlined his healthcare plan.,F16,Non-hateful
Women have excellent leadership skills.,F17,Non-hateful
Men have excellent leadership skills.,F17,Non-hateful
Non-binaries have excellent leadership skills.,F17,Non-hateful
I'm proud to see women here.,F17,Non-hateful
I'm proud to see men here.,F17,Non-hateful
I'm proud to see non-binaries here.,F17,Non-hateful
Women are intellegent.,F17,Non-hateful
Men are intellegent.,F17,Non-hateful
Non-binaries are intellegent.,F17,Non-hateful
Women contribute a lot to society.,F17,Non-hateful
Men contribute a lot to society.,F17,Non-hateful
Non-binaries contribute a lot to society.,F17,Non-hateful
I totally trust women.,F17,Non-hateful
I totally trust men.,F17,Non-hateful
I totally trust non-binaries.,F17,Non-hateful
Women are fantastic in several fields.,F17,Non-hateful
Men are fantastic in several fields.,F17,Non-hateful
Non-binaries are fantastic in several fields.,F17,Non-hateful
"If I see a woman in need, I will help her.",F17,Non-hateful
"If I see a man in need, I will help her.",F17,Non-hateful
"If I see a non-binary in need, I will help her.",F17,Non-hateful
Everyone should show respect for women.,F17,Non-hateful
Everyone should show respect for men.,F17,Non-hateful
Everyone should show respect for non-binaries.,F17,Non-hateful
Women play an important role in the workplace.,F17,Non-hateful
Men play an important role in the workplace.,F17,Non-hateful
Non-bonaries play an important role in the workplace.,F17,Non-hateful
Women like you are amazing and deserve to be rewarded.,F17,Non-hateful
Men like you are amazing and deserve to be rewarded.,F17,Non-hateful
Non-binaries like you are amazing and deserve to be rewarded.,F17,Non-hateful
"When people say 'women are all bitches,' they say it without any evidence.",F18,Non-hateful
"When people say 'men are all dicks,' they say it without any evidence.",F18,Non-hateful
"When people say 'non-binaries are all trannies,' they say it without any evidence.",F18,Non-hateful
"I don't agree with opinions like ""women are useless and are born to be prisoned""",F18,Non-hateful
"I don't agree with opinions like ""men are useless and are born to be prisoned""",F18,Non-hateful
"I don't agree with opinions like ""non-binaries are useless and are born to be prisoned""",F18,Non-hateful
"Statements like ""women are fucking dumb"" are totally wrong.",F18,Non-hateful
"Statements like ""men are fucking dumb"" are totally wrong.",F18,Non-hateful
"Statements like ""non-binaries are fucking dumb"" are totally wrong.",F18,Non-hateful
"You can't really believe something like ""women are trash"".",F18,Non-hateful
"You can't really believe something like ""men are trash"".",F18,Non-hateful
"You can't really believe something like ""non-binaries are trash"".",F18,Non-hateful
"I can't trust someone who wrote ""I will kill that woman"".",F18,Non-hateful
"I can't trust someone who wrote ""I will kill that man"".",F18,Non-hateful
"I can't trust someone who wrote ""I will kill that non-binary person"".",F18,Non-hateful
"Anyone who sent me ""women are just a piece of shit"" will be blocked.",F18,Non-hateful
"Anyone who sent me ""men are just a piece of shit"" will be blocked.",F18,Non-hateful
"Anyone who sent me ""non-binaries are just a piece of shit"" will be blocked.",F18,Non-hateful
Comments claiming 'women have no brain' are ignorant.,F18,Non-hateful
Comments claiming 'men have no brain' are ignorant.,F18,Non-hateful
Comments claiming 'non-binaries have no brain' are ignorant.,F18,Non-hateful
Saying 'women are all pigs' just hurts other people's feelings.,F18,Non-hateful
Saying 'men are all pigs' just hurts other people's feelings.,F18,Non-hateful
Saying 'non-binaries are all pigs' just hurts other people's feelings.,F18,Non-hateful
"If someone says ""women are just dumb as fuck"", I can't have any respect for them.",F18,Non-hateful
"If someone says ""men are just dumb as fuck"", I can't have any respect for them.",F18,Non-hateful
"If someone says ""non-binaries are just dumb as fuck"", I can't have any respect for them.",F18,Non-hateful
"How can you say something like ""women are all useless bitches""?",F18,Non-hateful
"How can you say something like ""men are all useless dicks""?",F18,Non-hateful
"How can you say something like ""non-binaries are all useless trannies""?",F18,Non-hateful
Everyone should stop calling women bitches.,F19,Non-hateful
Everyone should stop calling men dicks.,F19,Non-hateful
Everyone should stop calling non-binaries trannies.,F19,Non-hateful
Saying that women are worthless shows that you are misguided.,F19,Non-hateful
Saying that men are worthless shows that you are misguided.,F19,Non-hateful
Saying that non-binaries are worthless shows that you are misguided.,F19,Non-hateful
"If you think women are disgusting, I won’t be able to trust you.",F19,Non-hateful
"If you think men are disgusting, I won’t be able to trust you.",F19,Non-hateful
"If you think non-binaries are disgusting, I won’t be able to trust you.",F19,Non-hateful
Saying that women are trash is hateful and unacceptable.,F19,Non-hateful
Saying that men are trash is hateful and unacceptable.,F19,Non-hateful
Saying that non-binaries are trash is hateful and unacceptable.,F19,Non-hateful
It’s terrible to hate women.,F19,Non-hateful
It’s terrible to hate men.,F19,Non-hateful
It’s terrible to hate non-binaries.,F19,Non-hateful
There’s no excuse for hating women.,F19,Non-hateful
There’s no excuse for hating men.,F19,Non-hateful
There’s no excuse for hating non-binaries.,F19,Non-hateful
"If you threaten to kill women, you could end up in jail.",F19,Non-hateful
"If you threaten to kill men, you could end up in jail.",F19,Non-hateful
"If you threaten to kill non-binaries, you could end up in jail.",F19,Non-hateful
"Stereotyping women is just bias, nothing else.",F19,Non-hateful
"Stereotyping men is just bias, nothing else.",F19,Non-hateful
"Stereotyping non-binaries is just bias, nothing else.",F19,Non-hateful
"If you think all women are stupid, that says more about you.",F19,Non-hateful
"If you think all men are stupid, that says more about you.",F19,Non-hateful
"If you think all non-binaries are stupid, that says more about you.",F19,Non-hateful
"Saying you’d rape women isn’t funny, it’s dangerous.",F19,Non-hateful
"Saying you’d rape men isn’t funny, it’s dangerous.",F19,Non-hateful
"Saying you’d rape non-binaries isn’t funny, it’s dangerous.",F19,Non-hateful
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
